sample_id	md5sum	assembly
SAMEA104420610	c19cc06882f79d30a27b9604a1f474d4	SAMEA104420610.contigs.fa.gz
SAMEA104420611	5db7d324007499bf9fcfb81250a98d74	SAMEA104420611.contigs.fa.gz
SAMEA104420612	52a2fc67dbe86e5f9407224135015eaf	SAMEA104420612.contigs.fa.gz
SAMEA104420613	4e881917a713a200ab66898b4cd2d09a	SAMEA104420613.contigs.fa.gz
SAMEA104420615	5245805d3a916349933c66b353243f16	SAMEA104420615.contigs.fa.gz
SAMEA104420617	d93288f47ae47c370903a6e528449a8f	SAMEA104420617.contigs.fa.gz
SAMEA104420618	f6b5f4a10278073b749591c8e4558b06	SAMEA104420618.contigs.fa.gz
SAMEA104420626	15625e85154267be58e8764d30eabc49	SAMEA104420626.contigs.fa.gz
SAMEA104420630	11bd643653255eb84b65174bb8fdcbfd	SAMEA104420630.contigs.fa.gz
SAMEA104420631	646b4af065ed34b8c041978a85c47acb	SAMEA104420631.contigs.fa.gz
SAMEA104482897	585505fc8985686c1fdba183b8529686	SAMEA104482897.contigs.fa.gz
SAMEA104482913	516fb7fe6ae2b82ffdae6b41b78e105d	SAMEA104482913.contigs.fa.gz
SAMEA104482917	4a2c6547f5503e1a4e22ff4ed88723cc	SAMEA104482917.contigs.fa.gz
SAMEA104482968	9c5c7345c578e099e6de3d1aea3c1076	SAMEA104482968.contigs.fa.gz
SAMEA104482971	ab0e628963188eeeb098775b942a99fa	SAMEA104482971.contigs.fa.gz
SAMEA104483028	35fd7ea78396134d39a09caf0c7aa2c4	SAMEA104483028.contigs.fa.gz
SAMEA1056775	c1e744696594380a1a1404151f1164ec	SAMEA1056775.contigs.fa.gz
SAMEA1056777	d1d5131bcaf65ea1db943b1f8f0797ad	SAMEA1056777.contigs.fa.gz
SAMEA1056778	f4af121594ba9b9cf17a89531929658c	SAMEA1056778.contigs.fa.gz
SAMEA1056782	422243e62ce7f2e82ba93d65d71043b9	SAMEA1056782.contigs.fa.gz
SAMEA1056783	050137f32b65177a2c8ca3c11a746d50	SAMEA1056783.contigs.fa.gz
SAMEA1056788	c5c20e1b4d494b7b3be405d0e2ddb6c4	SAMEA1056788.contigs.fa.gz
SAMEA1401876	60c7ed4e4711c7505cf977d164aa48fa	SAMEA1401876.contigs.fa.gz
SAMEA1401888	0e3686bc55c42648e5f30483fc55248d	SAMEA1401888.contigs.fa.gz
SAMEA1401889	4529643f948a30d65de0d126cb187295	SAMEA1401889.contigs.fa.gz
